ссылка на товар,бренд,наименование,промо цена,регулярная цена,id товара
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Junior_33_suhoy_korm_dlya_shchenkov_melkih_porod.html,Royal Canin,"Mini Puppy корм для щенков мелких пород в возрасте с 2 до 10 месяцев, 2 кг",1433,1685,42417
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/natural-instinct-korm-suhoy-dlya-shchenkov.html,Dog & Dog Wild,"Natural Instinct Сухой корм для щенков, с лососем и уткой, 12 кг",6320,7899,146999
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_sobak_serdtse_i_pechen_v_gele.html,Yummy,"Мясной Деликатес консервы для собак, с натуральным сердцем и печенью в желе, 240 г",165,165,46902
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Hypoallergenic_korm_dieticheskiy_suhoy_dlya_sobak_pri_allergii.html,Royal Canin,"Hypoallergenic DR21 диета для собак с пищевой аллергией или непереносимостью, 2 кг",3065,3065,42647
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-shchenkov-melkikh-porod-s-indeykoy-400g.html,Aвва,"Сухой корм на основе свежего мяса для щенков мелких пород, с индейкой, 1,5 кг",1299,1299,154323
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Maxi_Junior_32_korm_suhoy_korm_dlya_shchenkov_krupnyh_porod_do_15_mesyatsev.html,Royal Canin,"Maxi Junior 32 корм для щенков с 2 до 15 месяцев, 15 кг",8339,8339,42378
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_suhoy_korm_dlya_sobak_vseh_porod_yagnenokris.html,Aвва,"Premium Adult сухой корм для собак всех пород старше 1 года, с ягненком и рисом, 3 кг",1429,1429,43597
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-vzroslykh-sobak-melkikh-porod-s-utkoy-400g.html,Aвва,"Сухой корм на основе свежего мяса для взрослых собак мелких пород, с уткой, 1,5 кг",1299,1299,154327
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-grassland-korm-suhoy-dlya-sobak.html,Dog & Dog Wild,"Regional Grassland Сухой корм для собак, с мясом кабана, ягненка и буйвола, 12 кг",7299,7299,147005
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-hypoallergenic-fish-potato.html,Farmina,"Vet Life Hypoallergenic диетический влажный корм для собак, гипоаллергенный, с рыбой и картофелем, 300г",459,459,120020
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/medium-adult-sensitive-skin-korm-dlya-sobak-srednih-porod-s-chuvstvitelnoy-kozhey-s-lososem.html,PRO PLAN®,"Сухой корм для собак средних пород OptiDerma с чувствительной кожей, с высоким содержанием лосося 14 кг",7336,9169,48999
https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/grandin-kons-200g-dlya-shchenkov-s-indeykoy-i-lnyanym-maslom.html,Grandin,"Puppy Влажный корм (консервы) для щенков всех пород, с индейкой и льняным маслом, 400 гр.",219,219,137566
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/premium-dog-adult-large-and-giant-s-kuricey-dlya-vzroslyh-sobak-krupnyh-i-gigantskih-porod.html,Brit,"Premium Dog Adult Large and Giant сухой корм для собак крупных и гигантских пород с курицей, 15 кг",4999,4999,139891
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-krolik-s-kartofelem-1kg.html,Grandorf,"Сухой корм для взрослых собак средних и крупных пород, кролик с индейкой, 3 кг",3565,3565,112547
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/ppvd-ha-sobaka-allergiya-muss-12h400g.html,PRO PLAN® Veterinary Diets,"HA Hypoallergenic Влажный диетический корм (консервы) для собак при пищевой непереносимости, 400 гр.",525,525,120477
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Nasha_Marka_suhoy_korm_dlya_sobak_vseh_sobak_yagnenokris.html,Наша Марка,"Сухой корм гипоаллергенный для собак всех пород старше 1 года, с ягненком и рисом, 12 кг",2389,2389,85050
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/sukhoy-korm-na-osnove-svezhego-myasa-dlya-sobak-senor-melkikh-porod-s-indeykoy-400g.html,Aвва,"Senior Сухой корм на основе свежего мяса для собак мелких пород, с индейкой, 1,5 кг",1299,1299,154329
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-vzroslyh-sobak-s-govyadinoy-i-ovoshchami.html,Sirius,"Корм сухой для взрослых собак, с говядиной и овощами, 15 кг",4979,4979,146280
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/konservy-dlya-sobak-vsekh-porod-govyadina-morkov-850g.html,Aвва,"Adult Консервы для взрослых всех пород, говядина и морковь, 850 гр.",385,385,149610
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/monge-dog-maxi-korm-dlya-shchenkov-krupnyh-porod-3-kg.html,Monge,"Maxi Puppy and Junior корм для щенков крупных пород, с курицей, 12 кг",9427,9427,82110
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/grandin-kons-200g-dlya-sobak-s-kuricey-i-lnyanym-maslom.html,Grandin,"Adult Влажный корм (консервы) для взрослых собак всех пород, с курицей и льняным маслом, 400 гр.",219,219,137563
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-vzroslyh-sobak-krupnyh-porod-s-indeykoy-i-ovoshchami.html,Sirius,"Корм сухой для взрослых собак крупных пород, с индейкой и овощами, 15 кг",4459,5245,146293
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Gurman_Golden_konservirovannyy_korm_dlya_sobak_govyadina_naturalnaya_v_gele.html,Четвероногий Гурман,"Golden Line консервы для собак, с говядиной, 340 г",335,335,43546
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_shchenkov_yagnenok_naturalnyy_v_gele.html,Yummy,"Мясной Деликатес консервы для щенков, с натуральным ягненком в желе, 240 г",209,209,48990
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-premium-suh-400g-dlya-sobak-melkih-porod-indeyka.html,Aвва,"Premium Adult Сухой корм для собак мелких пород, индейка, 1,5 кг",839,839,148083
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_sobak_krolik_naturalnyy_v_gele.html,Yummy,"Мясной Деликатес консервы для собак, с натуральным кроликом в желе, 750 г",569,569,44107
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/regional-farm-korm-suhoy-dlya-sobak.html,Dog & Dog Wild,"Regional Farm Сухой корм для собак, с курицей, уткой и кроликом, 12 кг",7299,7299,147008
